sample_id,group,period,channel,keyword,pub_date,content,post_id
1,Court,post,blog,코로나 백신 소송,2026-02-25,"2월 25일 상한가 급등주 정리 제대혈, 백신/진단시약/방역, 애플페이, 영화, 피팅(관이음쇠)/밸브, 코로나19, MLCC, 음원/음반, NFT, 서울고속버스터미널 재개발 수혜, 두 나무, 자전거, HBM 테마 등이 하락률...",021d622cb8b4f0fc
2,FM_Direct,post,news_comment,코로나 백신 이물질,2026-02-26,"[기고]광우병의 분노는 왜 백신의 침묵으로 변했나
그러나 2021년 코로나 백신 이물질 사태와 부작용 논란 앞에서는 기이할 정도의 정적이 감돌았다. 같은 ‘신체적 안전’의 문제임에도 불구하고 진영에 따라 극명하게 갈리는 이중잣대는 대한민국 지성이 도달한...",b4635622ed2f075b
3,FM_Direct,pre,blog,코로나 백신 곰팡이,2026-02-16,"폐렴, 예방과 치료가 중요한 호흡기 질환
바이러스성 폐렴 독감, 코로나바이러스, RSV(호흡기세포융합바이러스) 등다양한 바이러스에 의해... 기타 원인으로는 진균성 폐렴과 흡인성 폐렴이 있는데, 진균성은 곰팡이로 인한 폐렴이며 면역력이 약한...",8f1ae6aaaa925b1d
4,Court,post,blog,코로나 백신 사망 판결,2026-03-06,시진핑에게 있어 이란에 대한 '에픽 퓨리 작전'이 재앙적인... 아야톨라 하메네이가 사망하고 이란의 군사 지도부가 약화되면서 걸프 지역의 전략적 균형은... 코로나19 팬데믹(인간 통제 등) + 부정선거 세계경제포럼 = 중공을 롤 모델로 삼고 찬양  선거를...,93f7187ad69ebb43
5,Chronic,pre,blog,백신 피해자 모임,2026-02-09,"수능 대비 '독서' 지문(EBS)
(과학교사모임) 과학 종교 윤리의 대화 과학 지식은 절대적 진리인가(김보일) 과학 지식의 논리 구조(장회익) 과학과 기술로 본 세계사 강의(제임스 E. 매클랠란 외) 과학과 인간 과학에는 뭔가 특별한 것이...",cbdb03913bcec252
6,Chronic,pre,blog,코로나 백신 피해,2026-02-12,"15분 도시: 기술관료주의의 디지털 강제 수용소
[…] 이 개념은 코로나19 팬데믹 이후 봉쇄와 재택근무로 인해 자동차를 포기하고 편의시설이 잘 갖춰진 지역 사회의 필요성을 인식하게 되면서 크게 확산되었습니다. 이 선전물은 다시 말해 불편한...",62fc1c3f81a279e4
7,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-19,"헬스케어 Part2 바이오의약품(SK바이오팜)
일으키는 이물질입니다. (16:14 - 16:51) 항체: 특정 항원에 반응하여 방어하거나 공격하는... (16:51 - 17:54) mRNA 백신 작동 원리: 코로나19 바이러스 표면에는 '스파이크 단백질'이라는 돌기가 있는데...",71a2ebfde82f9e33
8,FM_Direct,pre,blog,코로나 백신 이물질,2026-02-21,"김포입주청소 건강한 겨울나기: 겨울철 감기 예방 완벽 가이드
감기, 독감, 코로나19와 같은 바이러스성 질환이 기승을 부리는 겨울철, 단순히 약에 의존하기보다... 이 물질은 바이러스의 막을 직접 파괴하는 강력한 방어선 역할을 합니다. 실제로 비타민 D 수치가 부족하면...",40dd4b3f1ed61733
9,Court,post,blog,코로나 백신 소송,2026-03-06,백신에 이물질이나 곰팡이가 들어갈 수도 있어요. 접종자가 할... 바랍니다 코로나19 백신에서 이물질 신고 사례가 있었다는 뉴스가 나오면서 많은 사람들이 걱정합니다.... 행정소송 위 경우 중요한 자료는 다음 세 가지입니다. 1. 접종 기록 2. 진료 기록 3. 전문가 의견 이...,ceaca8012189e2a2
10,Court,pre,blog,백신 피해 법원,2026-01-08,"쿠바는 자국민을 마두로 정권 지지를 위해 죽음으로 내몰면서... 영구적인 코로나 봉쇄부터 백신 여권, 기후 변화 봉쇄, 모든 경제적 자유를 박탈하는 무현금 디지털... 이러한 국제적 음모의 윤곽은 전 세계 국가가 국민을 일률적으로 봉쇄하고, 엄격한 백신 의무화를...",5492bd2da316090a
